경력,기업형태,복리후생,기업수
신입,대기업,A1,14 
신입,대기업,A2,4 
신입,대기업,A3,0 
신입,대기업,A4,5 
신입,대기업,A5,15 
신입,대기업,A6,4 
신입,대기업,A7,5 
신입,대기업,A8,4 
신입,대기업,A9,2 
신입,대기업,A10,0 
신입,대기업,A11,1 
신입,대기업,A12,0 
신입,대기업,A13,0 
신입,대기업,A14,1 
신입,대기업,A15,1 
신입,대기업,A16,2 
신입,대기업,A17,3 
신입,대기업,A18,0 
신입,대기업,A19,0 
신입,대기업,A20,0 
신입,대기업,A21,6 
신입,대기업,A22,0 
신입,대기업,B1,5 
신입,대기업,B2,9 
신입,대기업,B3,4 
신입,대기업,B4,10 
신입,대기업,B5,10 
신입,대기업,B6,0 
신입,대기업,B7,17 
신입,대기업,B8,3 
신입,대기업,B9,0 
신입,대기업,B10,4 
신입,대기업,B11,5 
신입,대기업,B12,7 
신입,대기업,B13,1 
신입,대기업,B14,4 
신입,대기업,B15,0 
신입,대기업,B16,1 
신입,대기업,B17,19 
신입,대기업,C1,9 
신입,대기업,C2,7 
신입,대기업,C3,7 
신입,대기업,C4,1 
신입,대기업,C5,1 
신입,대기업,C6,0 
신입,대기업,C7,0 
신입,대기업,C8,0 
신입,대기업,C9,1 
신입,대기업,C10,1 
신입,대기업,D1,3 
신입,대기업,D2,9 
신입,대기업,D3,11 
신입,대기업,D4,2 
신입,대기업,D5,12 
신입,대기업,D6,10 
신입,대기업,D7,9 
신입,대기업,D8,4 
신입,대기업,D9,6 
신입,대기업,D10,1 
신입,대기업,D11,6 
신입,대기업,D12,2 
신입,대기업,D13,6 
신입,대기업,D14,1 
신입,대기업,D15,7 
신입,대기업,D16,4 
신입,대기업,D17,7 
신입,대기업,D18,4 
신입,대기업,D19,7 
신입,대기업,D20,11 
신입,대기업,D21,3 
신입,대기업,D22,3 
신입,대기업,D23,3 
신입,대기업,D24,4 
신입,대기업,D25,13 
신입,대기업,D26,1 
신입,대기업,D27,0 
신입,대기업,D28,0 
신입,대기업,D29,0 
신입,대기업,D30,0 
신입,대기업,D31,0 
신입,대기업,D32,0 
신입,대기업,D33,1 
신입,대기업,E1,1 
신입,대기업,E2,2 
신입,대기업,E3,10 
신입,대기업,E4,2 
신입,대기업,E5,15 
신입,대기업,E6,9 
신입,대기업,E7,8 
신입,대기업,E8,1 
신입,대기업,E9,5 
신입,대기업,E10,2 
신입,대기업,E11,2 
신입,대기업,E12,1 
신입,대기업,E13,1 
신입,대기업,E14,2 
신입,대기업,E15,3 
신입,대기업,E16,0 
신입,대기업,E17,2 
신입,대기업,E18,1 
신입,대기업,E19,3 
신입,대기업,E20,0 
신입,대기업,E21,7 
신입,대기업,E22,7 
신입,대기업,E23,5 
신입,대기업,E24,1 
신입,대기업,E25,0 
신입,대기업,E26,11 
신입,대기업,E27,2 
신입,대기업,E28,0 
신입,대기업,E29,0 
신입,대기업,E30,4 
신입,대기업,F1,0 
신입,대기업,F2,0 
신입,대기업,F3,6 
신입,대기업,F4,8 
신입,대기업,F5,6 
신입,대기업,F6,10 
신입,대기업,F7,0 
신입,대기업,F8,2 
신입,대기업,F9,2 
신입,대기업,F10,0 
신입,대기업,F11,0 
신입,대기업,F12,0 
신입,대기업,F13,2 
신입,대기업,F14,0 
신입,대기업,G1,2 
신입,대기업,G2,0 
신입,대기업,G3,8 
신입,대기업,G4,1 
신입,대기업,G5,0 
신입,대기업,G6,1 
신입,대기업,G7,7 
신입,대기업,G8,6 
신입,대기업,G9,0 
신입,대기업,G10,4 
신입,대기업,G11,2 
신입,대기업,G12,0 
신입,대기업,G13,0 
신입,대기업,G14,0 
신입,대기업,G15,2 
신입,대기업,G16,2 
신입,대기업,G17,0 
신입,대기업,G18,0 
신입,대기업,G19,0 
신입,대기업,G20,0 
신입,대기업,H1,13 
신입,대기업,H2,8 
신입,대기업,H3,12 
신입,대기업,H4,10 
신입,대기업,H5,4 
신입,대기업,H6,6 
신입,대기업,H7,13 
신입,대기업,H8,3 
신입,대기업,H9,2 
신입,대기업,H10,10 
신입,대기업,H11,14 
신입,대기업,H12,2 
신입,대기업,H13,1 
신입,대기업,H14,5 
신입,대기업,H15,0 
신입,대기업,H16,2 
신입,매출1000대기업,A1,15 
신입,매출1000대기업,A2,5 
신입,매출1000대기업,A3,1 
신입,매출1000대기업,A4,5 
신입,매출1000대기업,A5,14 
신입,매출1000대기업,A6,5 
신입,매출1000대기업,A7,5 
신입,매출1000대기업,A8,4 
신입,매출1000대기업,A9,0 
신입,매출1000대기업,A10,0 
신입,매출1000대기업,A11,2 
신입,매출1000대기업,A12,1 
신입,매출1000대기업,A13,0 
신입,매출1000대기업,A14,3 
신입,매출1000대기업,A15,1 
신입,매출1000대기업,A16,2 
신입,매출1000대기업,A17,3 
신입,매출1000대기업,A18,0 
신입,매출1000대기업,A19,0 
신입,매출1000대기업,A20,0 
신입,매출1000대기업,A21,6 
신입,매출1000대기업,A22,0 
신입,매출1000대기업,B1,7 
신입,매출1000대기업,B2,8 
신입,매출1000대기업,B3,8 
신입,매출1000대기업,B4,11 
신입,매출1000대기업,B5,10 
신입,매출1000대기업,B6,1 
신입,매출1000대기업,B7,19 
신입,매출1000대기업,B8,4 
신입,매출1000대기업,B9,3 
신입,매출1000대기업,B10,7 
신입,매출1000대기업,B11,6 
신입,매출1000대기업,B12,7 
신입,매출1000대기업,B13,1 
신입,매출1000대기업,B14,5 
신입,매출1000대기업,B15,0 
신입,매출1000대기업,B16,3 
신입,매출1000대기업,B17,17 
신입,매출1000대기업,C1,12 
신입,매출1000대기업,C2,8 
신입,매출1000대기업,C3,8 
신입,매출1000대기업,C4,1 
신입,매출1000대기업,C5,1 
신입,매출1000대기업,C6,0 
신입,매출1000대기업,C7,1 
신입,매출1000대기업,C8,0 
신입,매출1000대기업,C9,1 
신입,매출1000대기업,C10,2 
신입,매출1000대기업,D1,2 
신입,매출1000대기업,D2,8 
신입,매출1000대기업,D3,9 
신입,매출1000대기업,D4,2 
신입,매출1000대기업,D5,8 
신입,매출1000대기업,D6,8 
신입,매출1000대기업,D7,7 
신입,매출1000대기업,D8,4 
신입,매출1000대기업,D9,5 
신입,매출1000대기업,D10,1 
신입,매출1000대기업,D11,6 
신입,매출1000대기업,D12,1 
신입,매출1000대기업,D13,5 
신입,매출1000대기업,D14,1 
신입,매출1000대기업,D15,5 
신입,매출1000대기업,D16,4 
신입,매출1000대기업,D17,9 
신입,매출1000대기업,D18,7 
신입,매출1000대기업,D19,9 
신입,매출1000대기업,D20,13 
신입,매출1000대기업,D21,6 
신입,매출1000대기업,D22,4 
신입,매출1000대기업,D23,1 
신입,매출1000대기업,D24,1 
신입,매출1000대기업,D25,10 
신입,매출1000대기업,D26,2 
신입,매출1000대기업,D27,1 
신입,매출1000대기업,D28,0 
신입,매출1000대기업,D29,0 
신입,매출1000대기업,D30,0 
신입,매출1000대기업,D31,0 
신입,매출1000대기업,D32,1 
신입,매출1000대기업,D33,0 
신입,매출1000대기업,E1,0 
신입,매출1000대기업,E2,3 
신입,매출1000대기업,E3,10 
신입,매출1000대기업,E4,2 
신입,매출1000대기업,E5,15 
신입,매출1000대기업,E6,8 
신입,매출1000대기업,E7,8 
신입,매출1000대기업,E8,1 
신입,매출1000대기업,E9,7 
신입,매출1000대기업,E10,2 
신입,매출1000대기업,E11,3 
신입,매출1000대기업,E12,2 
신입,매출1000대기업,E13,1 
신입,매출1000대기업,E14,2 
신입,매출1000대기업,E15,2 
신입,매출1000대기업,E16,0 
신입,매출1000대기업,E17,2 
신입,매출1000대기업,E18,1 
신입,매출1000대기업,E19,4 
신입,매출1000대기업,E20,0 
신입,매출1000대기업,E21,8 
신입,매출1000대기업,E22,8 
신입,매출1000대기업,E23,4 
신입,매출1000대기업,E24,1 
신입,매출1000대기업,E25,0 
신입,매출1000대기업,E26,14 
신입,매출1000대기업,E27,2 
신입,매출1000대기업,E28,1 
신입,매출1000대기업,E29,0 
신입,매출1000대기업,E30,2 
신입,매출1000대기업,F1,0 
신입,매출1000대기업,F2,3 
신입,매출1000대기업,F3,6 
신입,매출1000대기업,F4,8 
신입,매출1000대기업,F5,6 
신입,매출1000대기업,F6,10 
신입,매출1000대기업,F7,0 
신입,매출1000대기업,F8,1 
신입,매출1000대기업,F9,2 
신입,매출1000대기업,F10,0 
신입,매출1000대기업,F11,0 
신입,매출1000대기업,F12,0 
신입,매출1000대기업,F13,3 
신입,매출1000대기업,F14,0 
신입,매출1000대기업,G1,4 
신입,매출1000대기업,G2,2 
신입,매출1000대기업,G3,7 
신입,매출1000대기업,G4,2 
신입,매출1000대기업,G5,1 
신입,매출1000대기업,G6,2 
신입,매출1000대기업,G7,6 
신입,매출1000대기업,G8,8 
신입,매출1000대기업,G9,0 
신입,매출1000대기업,G10,6 
신입,매출1000대기업,G11,3 
신입,매출1000대기업,G12,0 
신입,매출1000대기업,G13,0 
신입,매출1000대기업,G14,0 
신입,매출1000대기업,G15,2 
신입,매출1000대기업,G16,5 
신입,매출1000대기업,G17,0 
신입,매출1000대기업,G18,0 
신입,매출1000대기업,G19,0 
신입,매출1000대기업,G20,0 
신입,매출1000대기업,H1,12 
신입,매출1000대기업,H2,9 
신입,매출1000대기업,H3,11 
신입,매출1000대기업,H4,9 
신입,매출1000대기업,H5,5 
신입,매출1000대기업,H6,6 
신입,매출1000대기업,H7,10 
신입,매출1000대기업,H8,3 
신입,매출1000대기업,H9,2 
신입,매출1000대기업,H10,9 
신입,매출1000대기업,H11,13 
신입,매출1000대기업,H12,3 
신입,매출1000대기업,H13,3 
신입,매출1000대기업,H14,6 
신입,매출1000대기업,H15,0 
신입,매출1000대기업,H16,0 
신입,중견기업,A1,46 
신입,중견기업,A2,9 
신입,중견기업,A3,2 
신입,중견기업,A4,9 
신입,중견기업,A5,38 
신입,중견기업,A6,6 
신입,중견기업,A7,4 
신입,중견기업,A8,4 
신입,중견기업,A9,2 
신입,중견기업,A10,0 
신입,중견기업,A11,2 
신입,중견기업,A12,3 
신입,중견기업,A13,4 
신입,중견기업,A14,6 
신입,중견기업,A15,1 
신입,중견기업,A16,0 
신입,중견기업,A17,4 
신입,중견기업,A18,0 
신입,중견기업,A19,0 
신입,중견기업,A20,0 
신입,중견기업,A21,13 
신입,중견기업,A22,0 
신입,중견기업,B1,23 
신입,중견기업,B2,25 
신입,중견기업,B3,10 
신입,중견기업,B4,29 
신입,중견기업,B5,32 
신입,중견기업,B6,3 
신입,중견기업,B7,40 
신입,중견기업,B8,7 
신입,중견기업,B9,17 
신입,중견기업,B10,22 
신입,중견기업,B11,23 
신입,중견기업,B12,12 
신입,중견기업,B13,4 
신입,중견기업,B14,8 
신입,중견기업,B15,0 
신입,중견기업,B16,7 
신입,중견기업,B17,51 
신입,중견기업,C1,44 
신입,중견기업,C2,7 
신입,중견기업,C3,28 
신입,중견기업,C4,2 
신입,중견기업,C5,2 
신입,중견기업,C6,0 
신입,중견기업,C7,1 
신입,중견기업,C8,2 
신입,중견기업,C9,0 
신입,중견기업,C10,2 
신입,중견기업,D1,13 
신입,중견기업,D2,17 
신입,중견기업,D3,24 
신입,중견기업,D4,3 
신입,중견기업,D5,22 
신입,중견기업,D6,21 
신입,중견기업,D7,13 
신입,중견기업,D8,2 
신입,중견기업,D9,7 
신입,중견기업,D10,0 
신입,중견기업,D11,4 
신입,중견기업,D12,2 
신입,중견기업,D13,7 
신입,중견기업,D14,5 
신입,중견기업,D15,17 
신입,중견기업,D16,9 
신입,중견기업,D17,18 
신입,중견기업,D18,20 
신입,중견기업,D19,19 
신입,중견기업,D20,23 
신입,중견기업,D21,14 
신입,중견기업,D22,4 
신입,중견기업,D23,4 
신입,중견기업,D24,4 
신입,중견기업,D25,27 
신입,중견기업,D26,4 
신입,중견기업,D27,3 
신입,중견기업,D28,0 
신입,중견기업,D29,0 
신입,중견기업,D30,0 
신입,중견기업,D31,0 
신입,중견기업,D32,1 
신입,중견기업,D33,0 
신입,중견기업,E1,6 
신입,중견기업,E2,2 
신입,중견기업,E3,30 
신입,중견기업,E4,8 
신입,중견기업,E5,31 
신입,중견기업,E6,15 
신입,중견기업,E7,14 
신입,중견기업,E8,3 
신입,중견기업,E9,13 
신입,중견기업,E10,8 
신입,중견기업,E11,1 
신입,중견기업,E12,1 
신입,중견기업,E13,0 
신입,중견기업,E14,4 
신입,중견기업,E15,4 
신입,중견기업,E16,1 
신입,중견기업,E17,0 
신입,중견기업,E18,1 
신입,중견기업,E19,8 
신입,중견기업,E20,0 
신입,중견기업,E21,12 
신입,중견기업,E22,20 
신입,중견기업,E23,6 
신입,중견기업,E24,10 
신입,중견기업,E25,1 
신입,중견기업,E26,25 
신입,중견기업,E27,0 
신입,중견기업,E28,3 
신입,중견기업,E29,0 
신입,중견기업,E30,0 
신입,중견기업,F1,0 
신입,중견기업,F2,8 
신입,중견기업,F3,5 
신입,중견기업,F4,21 
신입,중견기업,F5,23 
신입,중견기업,F6,27 
신입,중견기업,F7,0 
신입,중견기업,F8,4 
신입,중견기업,F9,1 
신입,중견기업,F10,1 
신입,중견기업,F11,1 
신입,중견기업,F12,0 
신입,중견기업,F13,0 
신입,중견기업,F14,0 
신입,중견기업,G1,9 
신입,중견기업,G2,8 
신입,중견기업,G3,10 
신입,중견기업,G4,2 
신입,중견기업,G5,1 
신입,중견기업,G6,5 
신입,중견기업,G7,10 
신입,중견기업,G8,10 
신입,중견기업,G9,1 
신입,중견기업,G10,11 
신입,중견기업,G11,4 
신입,중견기업,G12,0 
신입,중견기업,G13,0 
신입,중견기업,G14,0 
신입,중견기업,G15,0 
신입,중견기업,G16,9 
신입,중견기업,G17,1 
신입,중견기업,G18,0 
신입,중견기업,G19,0 
신입,중견기업,G20,1 
신입,중견기업,H1,47 
신입,중견기업,H2,13 
신입,중견기업,H3,38 
신입,중견기업,H4,29 
신입,중견기업,H5,9 
신입,중견기업,H6,10 
신입,중견기업,H7,33 
신입,중견기업,H8,3 
신입,중견기업,H9,6 
신입,중견기업,H10,34 
신입,중견기업,H11,33 
신입,중견기업,H12,26 
신입,중견기업,H13,11 
신입,중견기업,H14,12 
신입,중견기업,H15,0 
신입,중견기업,H16,1 
신입,중소기업,A1,387 
신입,중소기업,A2,37 
신입,중소기업,A3,8 
신입,중소기업,A4,34 
신입,중소기업,A5,332 
신입,중소기업,A6,61 
신입,중소기업,A7,10 
신입,중소기업,A8,31 
신입,중소기업,A9,40 
신입,중소기업,A10,1 
신입,중소기업,A11,9 
신입,중소기업,A12,59 
신입,중소기업,A13,40 
신입,중소기업,A14,59 
신입,중소기업,A15,5 
신입,중소기업,A16,17 
신입,중소기업,A17,46 
신입,중소기업,A18,17 
신입,중소기업,A19,1 
신입,중소기업,A20,19 
신입,중소기업,A21,46 
신입,중소기업,A22,1 
신입,중소기업,B1,341 
신입,중소기업,B2,306 
신입,중소기업,B3,160 
신입,중소기업,B4,255 
신입,중소기업,B5,319 
신입,중소기업,B6,76 
신입,중소기업,B7,533 
신입,중소기업,B8,129 
신입,중소기업,B9,96 
신입,중소기업,B10,135 
신입,중소기업,B11,153 
신입,중소기업,B12,70 
신입,중소기업,B13,25 
신입,중소기업,B14,55 
신입,중소기업,B15,1 
신입,중소기업,B16,22 
신입,중소기업,B17,843 
신입,중소기업,C1,475 
신입,중소기업,C2,66 
신입,중소기업,C3,303 
신입,중소기업,C4,25 
신입,중소기업,C5,44 
신입,중소기업,C6,34 
신입,중소기업,C7,26 
신입,중소기업,C8,27 
신입,중소기업,C9,57 
신입,중소기업,C10,58 
신입,중소기업,D1,124 
신입,중소기업,D2,159 
신입,중소기업,D3,421 
신입,중소기업,D4,85 
신입,중소기업,D5,244 
신입,중소기업,D6,205 
신입,중소기업,D7,65 
신입,중소기업,D8,20 
신입,중소기업,D9,232 
신입,중소기업,D10,0 
신입,중소기업,D11,52 
신입,중소기업,D12,27 
신입,중소기업,D13,15 
신입,중소기업,D14,69 
신입,중소기업,D15,170 
신입,중소기업,D16,127 
신입,중소기업,D17,95 
신입,중소기업,D18,282 
신입,중소기업,D19,251 
신입,중소기업,D20,127 
신입,중소기업,D21,40 
신입,중소기업,D22,45 
신입,중소기업,D23,218 
신입,중소기업,D24,134 
신입,중소기업,D25,469 
신입,중소기업,D26,4 
신입,중소기업,D27,15 
신입,중소기업,D28,20 
신입,중소기업,D29,13 
신입,중소기업,D30,0 
신입,중소기업,D31,11 
신입,중소기업,D32,17 
신입,중소기업,D33,5 
신입,중소기업,E1,11 
신입,중소기업,E2,2 
신입,중소기업,E3,283 
신입,중소기업,E4,55 
신입,중소기업,E5,459 
신입,중소기업,E6,256 
신입,중소기업,E7,204 
신입,중소기업,E8,34 
신입,중소기업,E9,55 
신입,중소기업,E10,51 
신입,중소기업,E11,9 
신입,중소기업,E12,9 
신입,중소기업,E13,6 
신입,중소기업,E14,16 
신입,중소기업,E15,18 
신입,중소기업,E16,10 
신입,중소기업,E17,12 
신입,중소기업,E18,27 
신입,중소기업,E19,48 
신입,중소기업,E20,9 
신입,중소기업,E21,179 
신입,중소기업,E22,154 
신입,중소기업,E23,73 
신입,중소기업,E24,38 
신입,중소기업,E25,18 
신입,중소기업,E26,339 
신입,중소기업,E27,77 
신입,중소기업,E28,45 
신입,중소기업,E29,1 
신입,중소기업,E30,8 
신입,중소기업,F1,5 
신입,중소기업,F2,27 
신입,중소기업,F3,201 
신입,중소기업,F4,389 
신입,중소기업,F5,314 
신입,중소기업,F6,468 
신입,중소기업,F7,32 
신입,중소기업,F8,175 
신입,중소기업,F9,51 
신입,중소기업,F10,12 
신입,중소기업,F11,30 
신입,중소기업,F12,8 
신입,중소기업,F13,26 
신입,중소기업,F14,6 
신입,중소기업,G1,58 
신입,중소기업,G2,55 
신입,중소기업,G3,35 
신입,중소기업,G4,5 
신입,중소기업,G5,2 
신입,중소기업,G6,9 
신입,중소기업,G7,152 
신입,중소기업,G8,110 
신입,중소기업,G9,51 
신입,중소기업,G10,92 
신입,중소기업,G11,112 
신입,중소기업,G12,1 
신입,중소기업,G13,3 
신입,중소기업,G14,8 
신입,중소기업,G15,13 
신입,중소기업,G16,51 
신입,중소기업,G17,60 
신입,중소기업,G18,8 
신입,중소기업,G19,0 
신입,중소기업,G20,17 
신입,중소기업,H1,629 
신입,중소기업,H2,230 
신입,중소기업,H3,346 
신입,중소기업,H4,366 
신입,중소기업,H5,97 
신입,중소기업,H6,75 
신입,중소기업,H7,391 
신입,중소기업,H8,63 
신입,중소기업,H9,112 
신입,중소기업,H10,181 
신입,중소기업,H11,217 
신입,중소기업,H12,105 
신입,중소기업,H13,49 
신입,중소기업,H14,30 
신입,중소기업,H15,26 
신입,중소기업,H16,19 
신입,스타트업,A1,35 
신입,스타트업,A2,6 
신입,스타트업,A3,0 
신입,스타트업,A4,1 
신입,스타트업,A5,21 
신입,스타트업,A6,2 
신입,스타트업,A7,1 
신입,스타트업,A8,1 
신입,스타트업,A9,2 
신입,스타트업,A10,0 
신입,스타트업,A11,0 
신입,스타트업,A12,7 
신입,스타트업,A13,3 
신입,스타트업,A14,2 
신입,스타트업,A15,0 
신입,스타트업,A16,0 
신입,스타트업,A17,6 
신입,스타트업,A18,4 
신입,스타트업,A19,0 
신입,스타트업,A20,1 
신입,스타트업,A21,0 
신입,스타트업,A22,0 
신입,스타트업,B1,14 
신입,스타트업,B2,26 
신입,스타트업,B3,4 
신입,스타트업,B4,20 
신입,스타트업,B5,22 
신입,스타트업,B6,25 
신입,스타트업,B7,38 
신입,스타트업,B8,5 
신입,스타트업,B9,2 
신입,스타트업,B10,4 
신입,스타트업,B11,15 
신입,스타트업,B12,0 
신입,스타트업,B13,0 
신입,스타트업,B14,1 
신입,스타트업,B15,0 
신입,스타트업,B16,1 
신입,스타트업,B17,67 
신입,스타트업,C1,41 
신입,스타트업,C2,3 
신입,스타트업,C3,34 
신입,스타트업,C4,1 
신입,스타트업,C5,2 
신입,스타트업,C6,7 
신입,스타트업,C7,2 
신입,스타트업,C8,4 
신입,스타트업,C9,5 
신입,스타트업,C10,5 
신입,스타트업,D1,8 
신입,스타트업,D2,3 
신입,스타트업,D3,46 
신입,스타트업,D4,5 
신입,스타트업,D5,24 
신입,스타트업,D6,14 
신입,스타트업,D7,1 
신입,스타트업,D8,1 
신입,스타트업,D9,39 
신입,스타트업,D10,0 
신입,스타트업,D11,10 
신입,스타트업,D12,2 
신입,스타트업,D13,0 
신입,스타트업,D14,1 
신입,스타트업,D15,24 
신입,스타트업,D16,20 
신입,스타트업,D17,6 
신입,스타트업,D18,24 
신입,스타트업,D19,36 
신입,스타트업,D20,6 
신입,스타트업,D21,3 
신입,스타트업,D22,0 
신입,스타트업,D23,30 
신입,스타트업,D24,12 
신입,스타트업,D25,49 
신입,스타트업,D26,0 
신입,스타트업,D27,3 
신입,스타트업,D28,1 
신입,스타트업,D29,1 
신입,스타트업,D30,0 
신입,스타트업,D31,1 
