경력,연봉,기업수
신입,2400만 이상,210 
신입,2600만 이상,187 
신입,2800만 이상,150 
신입,3000만 이상,129 
신입,3200만 이상,87 
신입,3400만 이상,54 
신입,3600만 이상,44 
신입,3800만 이상,34 
신입,4000만 이상,23 
신입,5000만 이상,18 
신입,6000만 이상,5 
신입,7000만 이상,3 
신입,8000만 이상,3 
6개월,2400만 이상,250 
6개월,2600만 이상,226 
6개월,2800만 이상,187 
6개월,3000만 이상,162 
6개월,3200만 이상,109 
6개월,3400만 이상,70 
6개월,3600만 이상,57 
6개월,3800만 이상,44 
6개월,4000만 이상,31 
6개월,5000만 이상,25 
6개월,6000만 이상,7 
6개월,7000만 이상,3 
6개월,8000만 이상,3 
1년차,2400만 이상,279 
1년차,2600만 이상,255 
1년차,2800만 이상,215 
1년차,3000만 이상,187 
1년차,3200만 이상,132 
1년차,3400만 이상,92 
1년차,3600만 이상,75 
1년차,3800만 이상,59 
1년차,4000만 이상,42 
1년차,5000만 이상,33 
1년차,6000만 이상,10 
1년차,7000만 이상,4 
1년차,8000만 이상,3 
2년차,2400만 이상,326 
2년차,2600만 이상,302 
2년차,2800만 이상,261 
2년차,3000만 이상,233 
2년차,3200만 이상,176 
2년차,3400만 이상,133 
2년차,3600만 이상,115 
2년차,3800만 이상,91 
2년차,4000만 이상,71 
2년차,5000만 이상,57 
2년차,6000만 이상,17 
2년차,7000만 이상,8 
2년차,8000만 이상,4 
3년차,2400만 이상,333 
3년차,2600만 이상,309 
3년차,2800만 이상,273 
3년차,3000만 이상,268 
3년차,3200만 이상,183 
3년차,3400만 이상,140 
3년차,3600만 이상,122 
3년차,3800만 이상,98 
3년차,4000만 이상,78 
3년차,5000만 이상,62 
3년차,6000만 이상,19 
3년차,7000만 이상,9 
3년차,8000만 이상,4 
4년차,2400만 이상,376 
4년차,2600만 이상,352 
4년차,2800만 이상,311 
4년차,3000만 이상,283 
4년차,3200만 이상,225 
4년차,3400만 이상,182 
4년차,3600만 이상,163 
4년차,3800만 이상,138 
4년차,4000만 이상,117 
4년차,5000만 이상,101 
4년차,6000만 이상,46 
4년차,7000만 이상,18 
4년차,8000만 이상,9 
5년차,2400만 이상,378 
5년차,2600만 이상,354 
5년차,2800만 이상,313 
5년차,3000만 이상,285 
5년차,3200만 이상,227 
5년차,3400만 이상,184 
5년차,3600만 이상,165 
5년차,3800만 이상,140 
5년차,4000만 이상,119 
5년차,5000만 이상,103 
5년차,6000만 이상,48 
5년차,7000만 이상,19 
5년차,8000만 이상,10 
6년차,2400만 이상,388 
6년차,2600만 이상,364 
6년차,2800만 이상,323 
6년차,3000만 이상,295 
6년차,3200만 이상,237 
6년차,3400만 이상,194 
6년차,3600만 이상,175 
6년차,3800만 이상,150 
6년차,4000만 이상,129 
6년차,5000만 이상,113 
6년차,6000만 이상,57 
6년차,7000만 이상,29 
6년차,8000만 이상,15 
7년차,2400만 이상,391 
7년차,2600만 이상,372 
7년차,2800만 이상,326 
7년차,3000만 이상,298 
7년차,3200만 이상,240 
7년차,3400만 이상,197 
7년차,3600만 이상,178 
7년차,3800만 이상,152 
7년차,4000만 이상,131 
7년차,5000만 이상,115 
7년차,6000만 이상,59 
7년차,7000만 이상,30 
7년차,8000만 이상,15 
8년차,2400만 이상,397 
8년차,2600만 이상,374 
8년차,2800만 이상,367 
8년차,3000만 이상,326 
8년차,3200만 이상,240 
8년차,3400만 이상,197 
8년차,3600만 이상,178 
8년차,3800만 이상,152 
8년차,4000만 이상,131 
8년차,5000만 이상,115 
8년차,6000만 이상,59 
8년차,7000만 이상,30 
8년차,8000만 이상,15 
9년차,2400만 이상,395 
9년차,2600만 이상,371 
9년차,2800만 이상,330 
9년차,3000만 이상,302 
9년차,3200만 이상,244 
9년차,3400만 이상,201 
9년차,3600만 이상,182 
9년차,3800만 이상,156 
9년차,4000만 이상,135 
9년차,5000만 이상,119 
9년차,6000만 이상,63 
9년차,7000만 이상,31 
9년차,8000만 이상,16 
10년차,2400만 이상,395 
10년차,2600만 이상,371 
10년차,2800만 이상,330 
10년차,3000만 이상,302 
10년차,3200만 이상,244 
10년차,3400만 이상,201 
10년차,3600만 이상,182 
10년차,3800만 이상,156 
10년차,4000만 이상,135 
10년차,5000만 이상,119 
10년차,6000만 이상,63 
10년차,7000만 이상,31 
10년차,8000만 이상,16 
