지역,연봉,기업수
seoul-1,2400만 이상,109 
seoul-1,2600만 이상,102 
seoul-1,2800만 이상,98 
seoul-1,3000만 이상,92 
seoul-1,3200만 이상,81 
seoul-1,3400만 이상,72 
seoul-1,3600만 이상,69 
seoul-1,3800만 이상,65 
seoul-1,4000만 이상,60 
seoul-1,5000만 이상,59 
seoul-1,6000만 이상,31 
seoul-1,7000만 이상,18 
seoul-1,8000만 이상,9 
seoul-2,2400만 이상,9 
seoul-2,2600만 이상,8 
seoul-2,2800만 이상,8 
seoul-2,3000만 이상,7 
seoul-2,3200만 이상,6 
seoul-2,3400만 이상,2 
seoul-2,3600만 이상,1 
seoul-2,3800만 이상,1 
seoul-2,4000만 이상,0 
seoul-2,5000만 이상,0 
seoul-2,6000만 이상,0 
seoul-2,7000만 이상,0 
seoul-2,8000만 이상,0 
seoul-3,2400만 이상,9 
seoul-3,2600만 이상,9 
seoul-3,2800만 이상,5 
seoul-3,3000만 이상,5 
seoul-3,3200만 이상,3 
seoul-3,3400만 이상,3 
seoul-3,3600만 이상,3 
seoul-3,3800만 이상,2 
seoul-3,4000만 이상,0 
seoul-3,5000만 이상,0 
seoul-3,6000만 이상,0 
seoul-3,7000만 이상,0 
seoul-3,8000만 이상,0 
seoul-4,2400만 이상,11 
seoul-4,2600만 이상,11 
seoul-4,2800만 이상,9 
seoul-4,3000만 이상,8 
seoul-4,3200만 이상,4 
seoul-4,3400만 이상,3 
seoul-4,3600만 이상,3 
seoul-4,3800만 이상,3 
seoul-4,4000만 이상,3 
seoul-4,5000만 이상,3 
seoul-4,6000만 이상,0 
seoul-4,7000만 이상,0 
seoul-4,8000만 이상,0 
seoul-5,2400만 이상,20 
seoul-5,2600만 이상,18 
seoul-5,2800만 이상,13 
seoul-5,3000만 이상,11 
seoul-5,3200만 이상,6 
seoul-5,3400만 이상,6 
seoul-5,3600만 이상,6 
seoul-5,3800만 이상,3 
seoul-5,4000만 이상,2 
seoul-5,5000만 이상,1 
seoul-5,6000만 이상,0 
seoul-5,7000만 이상,0 
seoul-5,8000만 이상,0 
seoul-6,2400만 이상,7 
seoul-6,2600만 이상,4 
seoul-6,2800만 이상,4 
seoul-6,3000만 이상,2 
seoul-6,3200만 이상,2 
seoul-6,3400만 이상,1 
seoul-6,3600만 이상,1 
seoul-6,3800만 이상,1 
seoul-6,4000만 이상,1 
seoul-6,5000만 이상,0 
seoul-6,6000만 이상,0 
seoul-6,7000만 이상,0 
seoul-6,8000만 이상,0 
seoul-7,2400만 이상,15 
seoul-7,2600만 이상,13 
seoul-7,2800만 이상,10 
seoul-7,3000만 이상,10 
seoul-7,3200만 이상,5 
seoul-7,3400만 이상,2 
seoul-7,3600만 이상,1 
seoul-7,3800만 이상,1 
seoul-7,4000만 이상,0 
seoul-7,5000만 이상,0 
seoul-7,6000만 이상,0 
seoul-7,7000만 이상,0 
seoul-7,8000만 이상,0 
seoul-8,2400만 이상,14 
seoul-8,2600만 이상,13 
seoul-8,2800만 이상,10 
seoul-8,3000만 이상,7 
seoul-8,3200만 이상,2 
seoul-8,3400만 이상,1 
seoul-8,3600만 이상,1 
seoul-8,3800만 이상,1 
seoul-8,4000만 이상,1 
seoul-8,5000만 이상,0 
seoul-8,6000만 이상,0 
seoul-8,7000만 이상,0 
seoul-8,8000만 이상,0 
seoul-9,2400만 이상,5 
seoul-9,2600만 이상,5 
seoul-9,2800만 이상,3 
seoul-9,3000만 이상,3 
seoul-9,3200만 이상,3 
seoul-9,3400만 이상,1 
seoul-9,3600만 이상,1 
seoul-9,3800만 이상,0 
seoul-9,4000만 이상,0 
seoul-9,5000만 이상,0 
seoul-9,6000만 이상,0 
seoul-9,7000만 이상,0 
seoul-9,8000만 이상,0 
seoul-10,2400만 이상,1 
seoul-10,2600만 이상,1 
seoul-10,2800만 이상,0 
seoul-10,3000만 이상,0 
seoul-10,3200만 이상,0 
seoul-10,3400만 이상,0 
seoul-10,3600만 이상,0 
seoul-10,3800만 이상,0 
seoul-10,4000만 이상,0 
seoul-10,5000만 이상,0 
seoul-10,6000만 이상,0 
seoul-10,7000만 이상,0 
seoul-10,8000만 이상,0 
seoul-11,2400만 이상,2 
seoul-11,2600만 이상,2 
seoul-11,2800만 이상,2 
seoul-11,3000만 이상,2 
seoul-11,3200만 이상,2 
seoul-11,3400만 이상,1 
seoul-11,3600만 이상,1 
seoul-11,3800만 이상,1 
seoul-11,4000만 이상,1 
seoul-11,5000만 이상,1 
seoul-11,6000만 이상,0 
seoul-11,7000만 이상,0 
seoul-11,8000만 이상,0 
seoul-12,2400만 이상,12 
seoul-12,2600만 이상,9 
seoul-12,2800만 이상,6 
seoul-12,3000만 이상,5 
seoul-12,3200만 이상,2 
seoul-12,3400만 이상,2 
seoul-12,3600만 이상,1 
seoul-12,3800만 이상,0 
seoul-12,4000만 이상,0 
seoul-12,5000만 이상,0 
seoul-12,6000만 이상,0 
seoul-12,7000만 이상,0 
seoul-12,8000만 이상,0 
seoul-13,2400만 이상,25 
seoul-13,2600만 이상,23 
seoul-13,2800만 이상,21 
seoul-13,3000만 이상,20 
seoul-13,3200만 이상,16 
seoul-13,3400만 이상,8 
seoul-13,3600만 이상,7 
seoul-13,3800만 이상,5 
seoul-13,4000만 이상,4 
seoul-13,5000만 이상,3 
seoul-13,6000만 이상,1 
seoul-13,7000만 이상,0 
seoul-13,8000만 이상,0 
seoul-14,2400만 이상,4 
seoul-14,2600만 이상,2 
seoul-14,2800만 이상,2 
seoul-14,3000만 이상,1 
seoul-14,3200만 이상,1 
seoul-14,3400만 이상,1 
seoul-14,3600만 이상,1 
seoul-14,3800만 이상,1 
seoul-14,4000만 이상,0 
seoul-14,5000만 이상,0 
seoul-14,6000만 이상,0 
seoul-14,7000만 이상,0 
seoul-14,8000만 이상,0 
seoul-15,2400만 이상,68 
seoul-15,2600만 이상,64 
