지역,복리후생,기업수
seoul-1,A1,415 
seoul-1,A2,87 
seoul-1,A3,7 
seoul-1,A4,50 
seoul-1,A5,308 
seoul-1,A6,75 
seoul-1,A7,32 
seoul-1,A8,27 
seoul-1,A9,48 
seoul-1,A10,13 
seoul-1,A11,28 
seoul-1,A12,56 
seoul-1,A13,48 
seoul-1,A14,88 
seoul-1,A15,19 
seoul-1,A16,26 
seoul-1,A17,78 
seoul-1,A18,18 
seoul-1,A19,0 
seoul-1,A20,30 
seoul-1,A21,71 
seoul-1,A22,0 
seoul-1,B1,270 
seoul-1,B2,328 
seoul-1,B3,171 
seoul-1,B4,257 
seoul-1,B5,245 
seoul-1,B6,82 
seoul-1,B7,573 
seoul-1,B8,133 
seoul-1,B9,88 
seoul-1,B10,136 
seoul-1,B11,145 
seoul-1,B12,62 
seoul-1,B13,26 
seoul-1,B14,71 
seoul-1,B15,6 
seoul-1,B16,29 
seoul-1,B17,885 
seoul-1,C1,410 
seoul-1,C2,68 
seoul-1,C3,304 
seoul-1,C4,18 
seoul-1,C5,38 
seoul-1,C6,23 
seoul-1,C7,24 
seoul-1,C8,35 
seoul-1,C9,45 
seoul-1,C10,60 
seoul-1,D1,125 
seoul-1,D2,133 
seoul-1,D3,349 
seoul-1,D4,78 
seoul-1,D5,214 
seoul-1,D6,151 
seoul-1,D7,80 
seoul-1,D8,20 
seoul-1,D9,201 
seoul-1,D10,11 
seoul-1,D11,51 
seoul-1,D12,46 
seoul-1,D13,24 
seoul-1,D14,50 
seoul-1,D15,193 
seoul-1,D16,154 
seoul-1,D17,66 
seoul-1,D18,220 
seoul-1,D19,228 
seoul-1,D20,159 
seoul-1,D21,51 
seoul-1,D22,63 
seoul-1,D23,203 
seoul-1,D24,131 
seoul-1,D25,395 
seoul-1,D26,15 
seoul-1,D27,11 
seoul-1,D28,11 
seoul-1,D29,8 
seoul-1,D30,3 
seoul-1,D31,6 
seoul-1,D32,13 
seoul-1,D33,2 
seoul-1,E1,22 
seoul-1,E2,10 
seoul-1,E3,274 
seoul-1,E4,66 
seoul-1,E5,384 
seoul-1,E6,222 
seoul-1,E7,198 
seoul-1,E8,44 
seoul-1,E9,57 
seoul-1,E10,51 
seoul-1,E11,5 
seoul-1,E12,4 
seoul-1,E13,5 
seoul-1,E14,16 
seoul-1,E15,7 
seoul-1,E16,7 
seoul-1,E17,13 
seoul-1,E18,31 
seoul-1,E19,34 
seoul-1,E20,8 
seoul-1,E21,206 
seoul-1,E22,138 
seoul-1,E23,111 
seoul-1,E24,48 
seoul-1,E25,17 
seoul-1,E26,268 
seoul-1,E27,70 
seoul-1,E28,39 
seoul-1,E29,1 
seoul-1,E30,7 
seoul-1,F1,3 
seoul-1,F2,37 
seoul-1,F3,222 
seoul-1,F4,355 
seoul-1,F5,295 
seoul-1,F6,424 
seoul-1,F7,26 
seoul-1,F8,140 
seoul-1,F9,69 
seoul-1,F10,7 
seoul-1,F11,22 
seoul-1,F12,3 
seoul-1,F13,29 
seoul-1,F14,4 
seoul-1,G1,40 
seoul-1,G2,54 
seoul-1,G3,10 
seoul-1,G4,11 
seoul-1,G5,8 
seoul-1,G6,17 
seoul-1,G7,184 
seoul-1,G8,99 
seoul-1,G9,36 
seoul-1,G10,69 
seoul-1,G11,93 
seoul-1,G12,7 
seoul-1,G13,4 
seoul-1,G14,1 
seoul-1,G15,10 
seoul-1,G16,50 
seoul-1,G17,39 
